emails,rating,height,bmi,yrs_education,age,days_active
54,-0.4480335,65.5,22.12109,17.5,1,46
7,0.2042817,63.5,21.79304,17,2,33
37,-0.2726743,65.5,17.20529,14,1,32
17,0.3405112,63.5,23.53649,21,1,101
3,-0.2653262,67.5,22.37256,16,3,108
49,1.060802,63.5,18.30616,18,1,85
7,-0.0761673,61,23.61596,18,2,23
32,0.6256529,65.5,20.48249,16,2,46
23,0.0919061,65.5,22.12109,12.5,3,108
26,-0.1593367,63.5,20.0496,21,1,84
9,0.3177589,63.5,18.30616,16,2,108
70,0.4132592,67.5,20.82963,16,3,52
6,-0.2887824,67.5,20.82963,15,3,108
5,-0.7408975,67.5,27.00137,17.5,1,46
18,-0.5210612,63.5,23.53649,12.5,1,65
43,-0.2952682,63.5,23.53649,16,3,41
16,0.3163359,65.5,25.39829,16,2,46
67,0.1325464,63.5,21.79304,21,1,67
28,0.1056492,65.5,20.48249,18,1,17
70,-1.32103,61,21.72669,16,2,79
10,-0.7068411,63.5,25.27993,12.5,2,27
98,0.2097096,65.5,22.12109,13,2,68
14,-1.260298,67.5,22.37256,17.5,3,108
10,-0.6048752,61,27.39452,12.5,2,62
2,-0.2785875,63.5,32.2537,18,2,60
12,0.0676515,65.5,25.39829,12.5,1,50
46,-0.2637929,67.5,19.28669,16,1,108
4,-0.3803267,65.5,20.48249,16,3,108
3,-0.5370975,65.5,23.75969,16,3,6
12,0.4222865,61,19.83741,18,3,108
113,0.9216342,63.5,18.30616,18,1,31
8,-0.4698837,65.5,27.03689,18,1,108
26,-0.2457141,69.5,22.55887,12.5,1,81
21,-0.52467,63.5,21.79304,18,1,75
103,0.627505,63.5,20.0496,16,2,90
36,0.9183281,63.5,21.79304,16,2,52
11,-0.3627559,63.5,20.0496,12.5,1,4
9,0.235724,65.5,22.12109,16,3,108
12,0.0411052,65.5,20.48249,18,1,108
12,-0.3615047,63.5,16.56271,12.5,1,53
72,0.4386419,65.5,22.12109,16,2,108
10,-1.065738,67.5,27.00137,12.5,1,48
47,0.9038416,63.5,20.0496,18,1,108
111,1.005286,65.5,22.12109,16,2,108
32,0.9335285,65.5,23.75969,16,1,19
0,-1.039968,67.5,23.9155,15,3,14
22,-0.138721,61,25.50524,12.5,3,50
45,1.008388,63.5,21.79304,18,1,108
8,0.1224298,63.5,20.0496,18,3,108
5,-0.7513905,61,27.39452,21,3,108
15,-0.0680541,63.5,18.30616,12.5,2,37
15,0.0773223,61,23.61596,16,1,108
90,1.538,65.5,22.12109,16,2,85
45,0.2989942,63.5,20.0496,16,1,108
42,0.5029918,63.5,20.0496,16,3,108
10,0.2139747,63.5,28.76682,12.5,3,99
10,-0.6354399,59,25.24418,17,1,31
29,0.8966233,61,19.83741,21,1,78
2,-0.3043976,69.5,24.01428,16,2,108
4,0.3995171,61,25.50524,12,1,78
26,0.0418402,65.5,20.48249,16,3,108
9,-0.2395862,67.5,23.9155,12.5,1,13
1,-0.4467558,65.5,27.03689,12.5,3,108
8,-0.2382379,63.5,21.79304,18,3,75
2,0.0224954,67.5,22.37256,17,3,67
158,0.1947873,61,21.72669,12.5,2,49
3,-0.1024363,65.5,23.75969,16,1,17
2,0.1484046,63.5,20.0496,21,3,84
10,-0.3491777,61,23.61596,18,2,108
40,0.7781844,67.5,20.82963,16,1,57
70,0.7989693,63.5,20.0496,12.5,2,89
11,0.1236578,67.5,20.82963,16,3,108
37,0.1041448,69.5,19.64805,16,3,108
3,-1.027511,69.5,25.4697,16,1,14
68,0.4632188,61,23.61596,16,3,108
1,-0.2800501,63.5,28.76682,12,1,79
4,-0.2071026,69.5,21.10346,16,3,108
20,0.0456941,69.5,18.19264,16,3,108
22,-0.4989971,65.5,22.12109,16,3,67
9,-0.6435881,63.5,21.79304,17,1,71
8,-0.5977191,67.5,22.37256,16,3,8
22,0.3742443,65.5,22.12109,12.5,1,79
12,0.3647984,63.5,23.53649,14,2,32
0,-1.077664,61,33.06235,16,2,108
12,-0.600481,65.5,25.39829,17,2,108
31,0.1931491,61,23.61596,16,2,108
42,-0.3273852,67.5,23.9155,16,1,58
33,-0.0391515,67.5,17.74376,18,1,31
17,-0.4302038,65.5,18.84389,16,2,108
91,0.6489112,61,23.61596,16,1,76
81,1.211385,63.5,21.79304,15,1,108
29,-0.3046602,65.5,22.12109,16,2,108
59,-0.2872866,63.5,20.0496,12.5,3,68
19,-0.3079739,63.5,27.02337,16,2,108
0,-0.3909149,61,25.50524,16,1,9
46,0.450642,63.5,18.30616,16,3,108
23,0.302808,67.5,25.45844,18,1,60
55,-0.3781295,61,21.72669,18,1,87
9,0.004159,61,17.94813,12.5,1,85
2,0.4161911,61,19.83741,17.5,3,108
13,0.0990501,65.5,22.12109,18,3,108
31,0.3609451,61,23.61596,16,3,51
4,-0.1216823,69.5,19.64805,16,2,70
33,0.4960094,61,19.83741,18,2,59
48,0.2722541,61,21.72669,17.5,2,108
19,-0.1824577,61,19.83741,18,3,24
19,0.1381347,67.5,20.82963,14,3,76
11,-0.3288032,67.5,22.37256,8,3,108
7,-0.8146414,65.5,25.39829,12,1,64
47,-0.099561,63.5,21.79304,8,3,84
19,-0.5234077,63.5,20.0496,14,3,77
5,-0.5559913,67.5,23.9155,16,3,108
44,-0.3269814,61,21.72669,12.5,2,23
55,0.098719,65.5,18.84389,17,1,63
21,-0.4797964,63.5,25.27993,16,2,108
15,0.6558402,65.5,18.84389,18,1,6
51,0.0534361,67.5,22.37256,16,2,46
35,-0.1723431,67.5,20.82963,16,3,108
21,0.2372807,65.5,20.48249,18,3,65
7,-0.0023344,61,21.72669,18,2,108
67,0.0755464,61,21.72669,12.5,3,108
39,0.4474538,65.5,27.03689,12.5,1,63
1,0.0353113,61,34.95163,12,3,108
13,-0.1364449,61,21.72669,18,1,108
7,-0.4066491,65.5,23.75969,16,3,54
33,0.3212591,67.5,19.28669,18,3,108
65,1.574579,63.5,20.0496,16,2,21
0,-0.6091409,63.5,23.53649,16,3,108
9,-0.1521662,63.5,23.53649,16,3,14
78,0.7341028,71.5,19.93936,14,2,108
20,0.2257605,67.5,25.45844,18,1,108
19,-0.4642104,63.5,46.20125,16,2,49
5,-0.5519785,65.5,27.03689,16,2,7
48,0.69691,69.5,18.19264,12.5,2,108
28,-0.4780022,65.5,28.67549,12.5,1,108
2,-0.8445162,67.5,23.9155,16,3,34
90,0.5160836,65.5,22.12109,16,2,108
66,0.5148665,65.5,22.12109,18,1,75
44,0.1701227,67.5,22.37256,18,2,83
10,-0.540907,71.5,18.56423,18,3,11
78,-0.5036851,69.5,21.10346,12.5,3,60
