emails,rating,height,bmi,yrs_education,age,days_active
0,-0.988058,75.5,26.5155,14,3,108
0,-0.6058049,71.5,33.69064,12.5,3,108
17,0.4147342,71.5,24.06475,18,1,62
29,0.1579601,71.5,28.19013,16,3,75
1,0.1835557,67.5,23.9155,17,1,108
33,0.2226848,67.5,23.9155,16,1,103
46,0.325005,73.5,22.77292,14.5,2,77
7,1.02699,67.5,22.37256,18,1,65
1,-0.3278383,73.5,22.77292,17.5,1,33
5,0.6152983,75.5,22.81567,17.5,1,108
9,0.2663816,69.5,25.4697,16,2,63
2,-0.5919055,67.5,25.45844,18,2,75
0,-1.137386,69.5,26.92511,14.5,3,108
3,-0.5946823,73.5,27.97816,17.5,3,42
7,-0.2925223,73.5,27.97816,17.5,3,45
8,-0.2098666,73.5,27.97816,16,3,102
9,-0.0471479,77.5,19.31238,18,1,108
8,0.1701111,71.5,25.43987,16,3,93
5,0.1389855,71.5,21.31449,12.5,1,11
5,-1.083762,71.5,22.68962,21,3,32
18,0.0933958,69.5,28.38052,16,2,108
9,0.4079607,69.5,24.01428,12.5,2,52
